filename,population_size,n_generations,mutate_mode,crossover_mode,best_score,fittest,time
		 (id: 3134, score: 100, library_id: 3, scanned: True)
		 (id: 3135, score: 100, library_id: 3, scanned: True)
		 (id: 3136, score: 100, library_id: 3, scanned: True)
		 (id: 3137, score: 100, library_id: 3, scanned: True)
		 (id: 3138, score: 100, library_id: 3, scanned: True)
		 (id: 3139, score: 100, library_id: 3, scanned: True)
		 (id: 3140, score: 100, library_id: 3, scanned: True)
		 (id: 3141, score: 100, library_id: 3, scanned: True)
		 (id: 3142, score: 100, library_id: 3, scanned: True)
		 (id: 3143, score: 100, library_id: 3, scanned: True)
		 (id: 3144, score: 100, library_id: 3, scanned: True)
		 (id: 3145, score: 100, library_id: 3, scanned: True)
		 (id: 3146, score: 100, library_id: 3, scanned: True)
		 (id: 3147, score: 100, library_id: 3, scanned: True)
		 (id: 3148, score: 100, library_id: 3, scanned: True)
		 (id: 3149, score: 100, library_id: 3, scanned: True)
		 (id: 3150, score: 100, library_id: 3, scanned: True)
		 (id: 3151, score: 100, library_id: 3, scanned: True)
		 (id: 3152, score: 100, library_id: 3, scanned: True)
		 (id: 3153, score: 100, library_id: 3, scanned: True)
		 (id: 3154, score: 100, library_id: 3, scanned: True)
		 (id: 3155, score: 100, library_id: 3, scanned: True)
		 (id: 3156, score: 100, library_id: 3, scanned: True)
		 (id: 3157, score: 100, library_id: 3, scanned: True)
		 (id: 3158, score: 100, library_id: 3, scanned: True)
		 (id: 3159, score: 100, library_id: 3, scanned: True)
		 (id: 3160, score: 100, library_id: 3, scanned: True)
		 (id: 3161, score: 100, library_id: 3, scanned: True)
		 (id: 3162, score: 100, library_id: 3, scanned: True)
		 (id: 3163, score: 100, library_id: 3, scanned: True)
		 (id: 3164, score: 100, library_id: 3, scanned: True)
		 (id: 3165, score: 100, library_id: 3, scanned: True)
		 (id: 3166, score: 100, library_id: 3, scanned: True)
		 (id: 3167, score: 100, library_id: 3, scanned: True)
		 (id: 3168, score: 100, library_id: 3, scanned: True)
		 (id: 3169, score: 100, library_id: 3, scanned: True)
		 (id: 3170, score: 100, library_id: 3, scanned: True)
		 (id: 3171, score: 100, library_id: 3, scanned: True)
		 (id: 3172, score: 100, library_id: 3, scanned: True)
		 (id: 3173, score: 100, library_id: 3, scanned: True)
		 (id: 3174, score: 100, library_id: 3, scanned: True)
		 (id: 3175, score: 100, library_id: 3, scanned: True)
		 (id: 3176, score: 100, library_id: 3, scanned: True)
		 (id: 3177, score: 100, library_id: 3, scanned: True)
		 (id: 3178, score: 100, library_id: 3, scanned: True)
		 (id: 3179, score: 100, library_id: 3, scanned: True)
		 (id: 3180, score: 100, library_id: 3, scanned: True)
		 (id: 3181, score: 100, library_id: 3, scanned: True)
		 (id: 3182, score: 100, library_id: 3, scanned: True)
		 (id: 3183, score: 100, library_id: 3, scanned: True)
		 (id: 3184, score: 100, library_id: 3, scanned: True)
		 (id: 3185, score: 100, library_id: 3, scanned: True)
		 (id: 3186, score: 100, library_id: 3, scanned: True)
		 (id: 3187, score: 100, library_id: 3, scanned: True)
		 (id: 3188, score: 100, library_id: 3, scanned: True)
		 (id: 3189, score: 100, library_id: 3, scanned: True)
		 (id: 3190, score: 100, library_id: 3, scanned: True)
		 (id: 3191, score: 100, library_id: 3, scanned: True)
		 (id: 3192, score: 100, library_id: 3, scanned: True)
		 (id: 3193, score: 100, library_id: 3, scanned: True)
		 (id: 3194, score: 100, library_id: 3, scanned: True)
		 (id: 3195, score: 100, library_id: 3, scanned: True)
		 (id: 3196, score: 100, library_id: 3, scanned: True)
		 (id: 3197, score: 100, library_id: 3, scanned: True)
		 (id: 3198, score: 100, library_id: 3, scanned: True)
		 (id: 3199, score: 100, library_id: 3, scanned: True)
		 (id: 3200, score: 100, library_id: 3, scanned: True)
		 (id: 3201, score: 100, library_id: 3, scanned: True)
		 (id: 3202, score: 100, library_id: 3, scanned: True)
		 (id: 3203, score: 100, library_id: 3, scanned: True)
		 (id: 3204, score: 100, library_id: 3, scanned: True)
		 (id: 3205, score: 100, library_id: 3, scanned: True)
		 (id: 3206, score: 100, library_id: 3, scanned: True)
		 (id: 3207, score: 100, library_id: 3, scanned: True)
		 (id: 3208, score: 100, library_id: 3, scanned: True)
		 (id: 3209, score: 100, library_id: 3, scanned: True)
		 (id: 3210, score: 100, library_id: 3, scanned: True)
		 (id: 3211, score: 100, library_id: 3, scanned: True)
		 (id: 3212, score: 100, library_id: 3, scanned: True)
		 (id: 3213, score: 100, library_id: 3, scanned: True)
		 (id: 3214, score: 100, library_id: 3, scanned: True)
		 (id: 3215, score: 100, library_id: 3, scanned: True)
		 (id: 3216, score: 100, library_id: 3, scanned: True)
		 (id: 3217, score: 100, library_id: 3, scanned: True)
		 (id: 3218, score: 100, library_id: 3, scanned: True)
		 (id: 3219, score: 100, library_id: 3, scanned: True)
		 (id: 3220, score: 100, library_id: 3, scanned: True)
		 (id: 3221, score: 100, library_id: 3, scanned: True)
		 (id: 3222, score: 100, library_id: 3, scanned: True)
		 (id: 3223, score: 100, library_id: 3, scanned: True)
		 (id: 3224, score: 100, library_id: 3, scanned: True)
		 (id: 3225, score: 100, library_id: 3, scanned: True)
